lat,lon,bat,tl_z_8,tl_z_half,tl_max_z
-38.08275869398553,-53.1548335816799,3683.0419673942206,149.15947516019656,130.91351875076853,166.8330297573574
-38.091955228045656,-53.174438178458615,3675.043021032101,159.49688457782958,126.24278948489945,176.23162896443412
-38.10114847630403,-53.19404768774289,3660.48985417919,145.61257435888794,129.37103848212797,165.45315706901994
-38.11033843687545,-53.21366211063585,3643.8802228346426,154.8366994993986,123.93571786343843,172.18080756291258
-38.119525107874104,-53.23328144823848,3627.0954349866934,150.37136089848,125.84454049389629,175.94221029681188
-38.1287084874136,-53.25290570164963,3622.8026316317537,155.33820795018354,142.69709806812637,178.46516527230253
-38.137888573606915,-53.27253487196599,3613.7765191659887,155.6969122930023,124.58807270665491,173.07764986594128
-38.147065364566444,-53.29216896028212,3610.1751370445795,160.39160725293507,129.4174653057835,176.29561273111207
-38.156238858404016,-53.31180796769044,3615.3214304818716,145.00583637601775,130.60215509462233,163.7607528428234
-38.165409053230796,-53.3314518952812,3650.0262953258007,144.438004611756,125.46528216087009,162.04209774255094
-38.17457594715742,-53.35110074414251,3718.618112867508,155.000062130479,124.2524724135602,172.8015662541916
-38.18373953829389,-53.37075451536033,3793.2739550804754,165.78279330906048,126.47731235159358,184.64601042190122
-38.19289982474963,-53.390413210018416,3803.8407451809326,144.46219059469232,128.0490129540537,162.08728222597944
-38.20205680463346,-53.41007682919838,3771.5895085471852,166.29422099939356,125.07480363322966,182.20045750793258
-38.211210476053616,-53.429745373979685,3743.150677820316,153.09218486476777,128.10857252495703,170.8478017354341
-38.22036083711774,-53.449418845439595,3743.142910352693,156.1230152770773,140.65159751813482,173.99427388068918
-38.22950788593286,-53.46909724465318,3703.920236044154,156.46299685493716,127.12799845286864,174.25903606677218
-38.23865162060546,-53.488780572693344,3593.2201278957864,148.03312707657096,128.56438504067182,165.93336931336313
-38.2477920392414,-53.50846883063081,3464.3404026512985,156.93196772895968,142.97560785926103,174.09025954895947
-38.25692913994594,-53.528162019534086,3403.2857643230236,156.1284738192423,126.30501425618993,173.96918738866825
-38.26606292082377,-53.54786014046951,3493.779704019553,153.13994290419342,124.5635291647921,179.68334666073054
-38.275193379979015,-53.567563194501204,3508.310048664085,147.9624340677072,130.36490079171617,169.71213246126246
-38.28432051551514,-53.58727118269109,3434.0224769397814,141.72334317373333,138.23074906305263,171.76616179021335
-38.29344432553511,-53.60698410609889,3360.966947986189,156.09592642536342,127.12898882791357,173.17516462947154
-38.302564808141234,-53.62670196578208,3342.7245222748797,153.62730858746346,124.56171154690166,170.54844108099462
-38.31168196143526,-53.646424762795974,3289.4400575023847,164.426778062398,123.1090974569478,180.97162849971156
-38.32079578351836,-53.66615249819361,3217.5280895294136,149.290879735939,125.62279726539113,167.38764629822762
-38.329906272491115,-53.68588517302584,3151.469482580418,158.93500212263345,129.28441963510937,175.4723464804432
-38.33901342645352,-53.70562278834125,3084.128020813772,151.55381527473196,128.74652170105583,169.08140814571814
-38.34811724350498,-53.7253653451863,3010.0575305383704,170.79422638638252,131.19683525486087,204.53117540182683
-38.35721772174433,-53.74511284460503,2929.7144419541346,141.6481645844028,126.5996836022032,163.19592778934413
-38.3663148592698,-53.76486528763942,2849.140017162743,164.03968355907006,128.32238487460978,177.0279588720263
-38.375408654179076,-53.7846226753291,2771.889325623503,153.5420537344344,132.9894734855667,170.9676360452055
-38.38449910456923,-53.804385008711435,2709.088233123007,138.3835875562987,121.36598613252303,155.84443013850228
-38.39358620853675,-53.824152288821644,2682.645225954598,147.24333254621303,124.5412260973548,166.03139629069844
-38.40266996417758,-53.84392451669259,2625.5776258259275,141.62948298080033,121.70176587428897,158.94274183360073
-38.411750369587075,-53.86370169335493,2299.0109225719784,140.31997516808875,128.84089644191909,166.04472398823725
-38.420827422859965,-53.883483819837,2218.631661425054,155.82763940166348,126.96833326746618,167.42606130888356
-38.42990112209048,-53.903270897164944,2041.1361458129775,134.87924318352148,122.4620833003881,154.766714828284
-38.438971465372184,-53.923062926362576,1862.0299305125845,135.13025649046457,119.4015934370757,165.83845175772169
-38.448038450798144,-53.94285990845143,1802.2369680208635,127.55162652378473,124.4779740795851,149.50718467708342
-38.45710207646083,-53.9626618444508,1683.8185467760597,126.96542406843173,123.07980152767237,165.41950742363912
-38.466162340452094,-53.982468735377644,1596.6919576621513,127.3133791941588,118.95279470659946,167.10100702845648
-38.47521924086327,-54.00228058224668,1524.1003330159156,131.027959177088,123.13500536033122,165.68442793204034
-38.48427277578507,-54.02209738607029,1464.4040396631021,127.27855668456905,127.28312132098122,158.93659230953156
-38.49332294330769,-54.04191914785859,1410.3147058645147,140.88718784024667,124.1482007295902,163.2474780654586
